,age,n,retired,h,A,0.025,0.975,e
0,16,9,0,0.0,1.0,1.0,1.0,21.014007391355506
1,17,115,0,0.0,1.0,1.0,1.0,20.014007391355506
2,18,344,2,0.005813953488372093,0.9941860465116279,0.9849386215557093,1.0,19.014007391355506
3,19,562,4,0.0071174377224199285,0.9871099892410825,0.9760428743350885,0.9963963963963964,18.019821344843876
4,20,680,7,0.010294117647058823,0.9769485628812479,0.9633842057629942,0.98818897018046,17.032711355602792
5,21,757,3,0.003963011889035667,0.9730769041115732,0.9580539351504124,0.9854232543236706,16.055762792721545
6,22,793,4,0.005044136191677175,0.9681685716822589,0.9528901637595835,0.9805302150763309,15.082685888609971
7,23,855,4,0.004678362573099415,0.9636391280720495,0.9475376593997834,0.9771954565480806,14.114517316927712
8,24,843,1,0.0011862396204033216,0.9624960211585596,0.9462186287465512,0.9766261968421986,13.150878188855662
9,25,763,4,0.005242463958060288,0.9574501704578594,0.9405962372307809,0.9717944021347104,12.188382167697103
10,26,771,6,0.007782101167315175,0.9499991963686932,0.9324728788052713,0.9649402211861339,11.230931997239244
11,27,771,5,0.00648508430609598,0.9438383714895189,0.9270320807756416,0.9600545146029534,10.28093280087055
12,28,703,9,0.012802275960170697,0.9317550921959119,0.9124987651982807,0.9487507189623133,9.33709442938103
13,29,651,6,0.009216589861751152,0.923167487659544,0.9032495103898683,0.9422549584770776,8.405339337185119
14,30,587,8,0.013628620102214651,0.9105859886795162,0.887905178356955,0.9313250655291737,7.4821718495255745
15,31,535,23,0.04299065420560748,0.871439301315724,0.8452861580039658,0.8968100943056863,6.571585860846058
16,32,413,15,0.03631961259079903,0.8397889634955403,0.8114945617566857,0.8674554572275164,5.700146559530334
17,33,345,22,0.06376811594202898,0.7862372035045204,0.7510844748026008,0.822027888859183,4.860357596034794
18,34,245,18,0.07346938775510205,0.7284728375327597,0.6857942934187811,0.7677187315183652,4.074120392530273
19,35,186,27,0.14516129032258066,0.6227267804715526,0.5723443029341461,0.6733724766191974,3.3456475549975133
20,36,105,11,0.10476190476190476,0.5574887368031043,0.5010468911986005,0.6180761525265909,2.722920774525961
21,37,59,7,0.11864406779661017,0.4913460053179902,0.4233421830990051,0.5666581752580719,2.165432037722857
22,38,40,10,0.25,0.3685095039884927,0.2891871275615076,0.45386481348487767,1.6740860324048668
23,39,15,3,0.2,0.29480760319079413,0.19282046963546978,0.39718692374848724,1.305576528416374
24,40,7,1,0.14285714285714285,0.25269223130639495,0.13316371543751007,0.3811887040850097,1.0107689252255798
25,41,3,0,0.0,0.25269223130639495,0.13176899248573892,0.38210282779734756,0.7580766939191849
26,42,1,0,0.0,0.25269223130639495,0.14100273748487355,0.37340956379118684,0.5053844626127899
27,43,1,0,0.0,0.25269223130639495,0.13413695841928874,0.37805131316050344,0.25269223130639495
