age,n,retired,h,A,0.025,0.975,e
16,9,0,0.0,1.0,1.0,1.0,21.014007391355506
17,115,0,0.0,1.0,1.0,1.0,20.014007391355506
18,344,2,0.005813953488372093,0.9941860465116279,0.984984984984985,1.0,19.014007391355506
19,562,4,0.0071174377224199285,0.9871099892410825,0.9754029026629737,0.99644128113879,18.019821344843876
20,680,7,0.010294117647058823,0.9769485628812479,0.9629041555748704,0.9887888651494042,17.032711355602792
21,757,3,0.003963011889035667,0.9730769041115732,0.9587691609613158,0.9855852150087206,16.055762792721545
22,793,4,0.005044136191677175,0.9681685716822589,0.9529040501224786,0.9815020405652316,15.082685888609971
23,855,4,0.004678362573099415,0.9636391280720495,0.9478459611131814,0.9777796237159224,14.114517316927712
24,843,1,0.0011862396204033216,0.9624960211585596,0.9464570526509561,0.9767694076310781,13.150878188855662
25,763,4,0.005242463958060288,0.9574501704578594,0.9408887033098431,0.9724284179431384,12.188382167697103
26,771,6,0.007782101167315175,0.9499991963686932,0.9323004068450841,0.9659106801354096,11.230931997239244
27,771,5,0.00648508430609598,0.9438383714895189,0.925681971667711,0.9606113998075083,10.28093280087055
28,703,9,0.012802275960170697,0.9317550921959119,0.9119862327000701,0.9499192344319082,9.33709442938103
29,651,6,0.009216589861751152,0.923167487659544,0.9022297131816126,0.9422963572960955,8.405339337185119
30,587,8,0.013628620102214651,0.9105859886795162,0.8882207733561213,0.9310038100382348,7.4821718495255745
31,535,23,0.04299065420560748,0.871439301315724,0.8450864977122744,0.8971116447047649,6.571585860846058
32,413,15,0.03631961259079903,0.8397889634955403,0.8100618391114089,0.869490822304763,5.700146559530334
33,345,22,0.06376811594202898,0.7862372035045204,0.7506845563412519,0.8208598882441734,4.860357596034794
34,245,18,0.07346938775510205,0.7284728375327597,0.6879134441198343,0.7688629905739627,4.074120392530273
35,186,27,0.14516129032258066,0.6227267804715526,0.5721362817241509,0.6726907060027808,3.3456475549975133
36,105,11,0.10476190476190476,0.5574887368031043,0.4996623327529083,0.6159177634730878,2.722920774525961
37,59,7,0.11864406779661017,0.4913460053179902,0.42036391386778726,0.560051006182486,2.165432037722857
38,40,10,0.25,0.3685095039884927,0.28402692417858105,0.4550126654629064,1.6740860324048668
39,15,3,0.2,0.29480760319079413,0.19278796257070965,0.4016943865898656,1.305576528416374
40,7,1,0.14285714285714285,0.25269223130639495,0.12894192661000697,0.37530475756229065,1.0107689252255798
41,3,0,0.0,0.25269223130639495,0.12897952475273647,0.375687470312626,0.7580766939191849
42,1,0,0.0,0.25269223130639495,0.12872292624316378,0.3741927059968168,0.5053844626127899
43,1,0,0.0,0.25269223130639495,0.1293702104144865,0.3741755367828918,0.25269223130639495
